,cmp,0,1,2,3,4,5,6,7,8
0,한미약품(주),0.5685009956359863,0.12220737338066101,0.0,0.037709515541791916,0.015517224557697773,0.08300819993019104,0.17066514492034912,0.0,0.0
1,(주)대웅제약,0.0,0.0,0.0,0.0,0.0,0.0,0.999363124370575,0.0,0.0
2,오스템임플란트(주),0.0,0.18558526039123535,0.0,0.6389914155006409,0.16113869845867157,0.0,0.0,0.0,0.0
3,(주)종근당,0.0989588126540184,0.12931674718856812,0.0,0.027747707441449165,0.16777506470680237,0.0,0.23261408507823944,0.3413824439048767,0.0
4,삼성바이오로직스(주),0.7926567792892456,0.0,0.171439528465271,0.0,0.028490284457802773,0.0,0.0,0.0,0.0
5,(주)녹십자,0.07011030614376068,0.5319980978965759,0.0,0.0,0.06340954452753067,0.0,0.0,0.3313409388065338,0.0
6,제일약품(주),0.0,0.11174105107784271,0.0,0.4601917564868927,0.0,0.0,0.41695427894592285,0.010567745193839073,0.0
7,한국유나이티드제약(주),0.039612576365470886,0.03563949838280678,0.0,0.15694092214107513,0.0,0.0,0.0,0.0,0.7589722275733948
8,국립암센터,0.0,0.0,0.1333906352519989,0.0,0.0,0.8658277988433838,0.0,0.0,0.0
9,(주)셀트리온,0.0,0.0,0.0,0.1926441192626953,0.8064702153205872,0.0,0.0,0.0,0.0
10,서울대학교병원,0.0,0.0,0.0,0.0,0.0,0.9989994168281555,0.0,0.0,0.0
11,에이치케이이노엔(주),0.5486180186271667,0.1677308976650238,0.0,0.0,0.0,0.0,0.04616669937968254,0.22813214361667633,0.0
12,(주)덴티움,0.0,0.7543656229972839,0.0,0.21176232397556305,0.0,0.0,0.019321199506521225,0.0,0.0
13,JW중외제약(주),0.054675690829753876,0.5250698924064636,0.0,0.032541725784540176,0.0,0.0,0.22374513745307922,0.1551945060491562,0.0
14,(주)보령,0.12006772309541702,0.0,0.0,0.0,0.0,0.0,0.8734434247016907,0.0,0.0
15,일동제약(주),0.0,0.17187325656414032,0.0,0.0,0.0,0.0,0.8190189003944397,0.0,0.0
16,(주)씨젠,0.0,0.2580864727497101,0.0,0.4242222011089325,0.31728047132492065,0.0,0.0,0.0,0.0
17,(주)신흥,0.0,0.3045383393764496,0.0,0.6942997574806213,0.0,0.0,0.0,0.0,0.0
18,(주)셀트리온제약,0.0,0.1155645102262497,0.0,0.11605439335107803,0.017129119485616684,0.0,0.7501398921012878,0.0,0.0
19,분당서울대학교병원,0.0,0.0,0.0,0.0,0.0,0.9984056949615479,0.0,0.0,0.0
20,대원제약(주),0.0,0.0,0.0,0.10714448243379593,0.0,0.0,0.0,0.8906810283660889,0.0
21,일양약품(주),0.6513248085975647,0.0,0.0,0.0225323885679245,0.0,0.0,0.0,0.3241744339466095,0.0
22,(주)한독,0.2908437252044678,0.17537088692188263,0.0,0.1628115028142929,0.0,0.20780450105667114,0.0,0.16196919977664948,0.0
23,(주)휴온스,0.08816009014844894,0.7342039346694946,0.0,0.0,0.07754802703857422,0.0,0.09893909841775894,0.0,0.0
24,동국제약(주),0.1781531721353531,0.5147087574005127,0.0,0.027743477374315262,0.15976181626319885,0.0,0.04530036076903343,0.07390359044075012,0.0
25,(주)마크로젠,0.0,0.89471036195755,0.0,0.0,0.0,0.09687671810388565,0.0,0.0,0.0
26,한국장애인고용공단,0.0,0.0,0.0,0.0,0.0,0.998693585395813,0.0,0.0,0.0
27,(주)바이오니아,0.0,0.9990958571434021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,에스티팜(주),0.0,0.7966788411140442,0.0,0.0,0.0,0.0,0.0,0.1908295750617981,0.0
29,(주)아이센스,0.0,0.0,0.0,0.0,0.9982857704162598,0.0,0.0,0.0,0.0
30,광동제약(주),0.13203077018260956,0.39641425013542175,0.0,0.13661018013954163,0.14998850226402283,0.16500888764858246,0.0,0.0192109402269125,0.0
31,동아에스티(주),0.0,0.7538147568702698,0.0,0.0,0.055895302444696426,0.06202123314142227,0.11767011880874634,0.0,0.0
32,(재)한국의학연구소,0.0,0.7150694727897644,0.0914418026804924,0.0,0.0,0.1898418813943863,0.0,0.0,0.0
33,휴젤(주),0.9991005063056946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,(주)한국애보트진단,0.0,0.9883520603179932,0.0,0.0,0.011012914590537548,0.0,0.0,0.0,0.0
35,유한양행(주),0.0,0.8330903649330139,0.0,0.03774852678179741,0.11193729192018509,0.016017602756619453,0.0,0.0,0.0
36,바이넥스(주),0.5103232264518738,0.030534634366631508,0.0,0.4580082297325134,0.0,0.0,0.0,0.0,0.0
37,환인제약(주),0.0,0.0,0.0,0.0,0.0,0.0,0.998581051826477,0.0,0.0
38,한림제약(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9984870553016663,0.0
39,써모피셔사이언티픽코리아(주),0.0,0.9976892471313477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,안국약품(주),0.0,0.40483227372169495,0.0,0.03467356413602829,0.3229016065597534,0.20336581766605377,0.0,0.03276797756552696,0.0
41,신풍제약(주),0.0,0.06346534192562103,0.0,0.11314520984888077,0.0,0.0,0.0,0.822417676448822,0.0
42,유니메드제약(주),0.1605754792690277,0.02212444692850113,0.0,0.8164008259773254,0.0,0.0,0.0,0.0,0.0
43,(주)와이에스생명과학,0.0,0.05273713171482086,0.0,0.0,0.0,0.0,0.0,0.9449527263641357,0.0
44,한스바이오메드(주),0.0,0.8851722478866577,0.0,0.11382583528757095,0.0,0.0,0.0,0.0,0.0
45,(주)케어젠,0.0,0.22173906862735748,0.0,0.7751639485359192,0.0,0.0,0.0,0.0,0.0
46,(주)메디톡스,0.6632197499275208,0.3352448046207428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,푸르니보육지원재단,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9907694458961487,0.0
48,(사)한국건강관리협회,0.0,0.0,0.998009979724884,0.0,0.0,0.0,0.0,0.0,0.0
49,(주)네오바이오텍,0.0,0.8829748630523682,0.0,0.06366293132305145,0.05155874043703079,0.0,0.0,0.0,0.0
50,(주)오상헬스케어,0.2975492477416992,0.06600356101989746,0.0,0.36921030282974243,0.0,0.0,0.0,0.26485002040863037,0.0
51,경동제약(주),0.0,0.0,0.0,0.48850148916244507,0.5048648715019226,0.0,0.0,0.0,0.0
52,(주)경보제약,0.039997149258852005,0.0,0.0,0.013960280455648899,0.9443359971046448,0.0,0.0,0.0,0.0
53,에스디바이오센서(주),0.0,0.9840822815895081,0.0,0.0,0.011341027915477753,0.0,0.0,0.0,0.0
54,이연제약(주),0.4445316791534424,0.4648630619049072,0.0,0.0,0.0,0.08857717365026474,0.0,0.0,0.0
55,(주)제노스,0.0,0.8229159116744995,0.0,0.17506220936775208,0.0,0.0,0.0,0.0,0.0
56,사회복지법인월드비전,0.0,0.0,0.0,0.0,0.9260324835777283,0.0701141357421875,0.0,0.0,0.0
57,코오롱생명과학(주),0.2666439116001129,0.1491222381591797,0.0,0.5813201069831848,0.0,0.0,0.0,0.0,0.0
58,(주)서흥,0.0,0.9987976551055908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,(주)에이프로젠바이오로직스,0.0,0.0,0.0,0.0,0.9983168244361877,0.0,0.0,0.0,0.0
60,(주)유영제약,0.09705789387226105,0.0,0.0,0.0,0.0,0.0,0.10633259266614914,0.7875056862831116,0.0
61,대한적십자사,0.15381745994091034,0.018184110522270203,0.0,0.0,0.0,0.8214374780654907,0.0,0.0,0.0
62,(주)하이로닉,0.0,0.36057206988334656,0.0,0.012128416448831558,0.0,0.0,0.6263110041618347,0.0,0.0
63,프레스티지바이오로직스(주),0.3068864345550537,0.5121312141418457,0.0,0.17480126023292542,0.0,0.0,0.0,0.0,0.0
64,동아제약(주),0.0,0.0,0.0,0.0,0.8306763768196106,0.0,0.0,0.16697151958942413,0.0
65,건일제약(주),0.0,0.0,0.0,0.9105188250541687,0.0,0.0,0.08664033561944962,0.0,0.0
66,동성제약(주),0.0,0.0,0.0,0.9990071654319763,0.0,0.0,0.0,0.0,0.0
67,진양제약(주),0.0,0.09594733268022537,0.0,0.0,0.0,0.0,0.0,0.0,0.9027827978134155
68,부광약품(주),0.0,0.0,0.0,0.9977590441703796,0.0,0.0,0.0,0.0,0.0
69,충남대학교병원,0.0,0.0,0.0,0.0,0.0,0.9982956647872925,0.0,0.0,0.0
70,명인제약(주),0.0,0.0,0.0,0.9976085424423218,0.0,0.0,0.0,0.0,0.0
71,(주)알피바이오,0.0,0.03501181676983833,0.0,0.9641383290290833,0.0,0.0,0.0,0.0,0.0
72,바이엘코리아(주),0.0,0.0,0.20275862514972687,0.0,0.0,0.0,0.7896904349327087,0.0,0.0
73,(주)유한화학,0.0,0.030393311753869057,0.0,0.0,0.9448783993721008,0.0,0.02278280258178711,0.0,0.0
74,일성신약(주),0.0,0.35480374097824097,0.0,0.6405900120735168,0.0,0.0,0.0,0.0,0.0
75,(주)시지바이오,0.0,0.2252950817346573,0.0,0.03676372021436691,0.0,0.0,0.1766648143529892,0.0,0.5558674335479736
76,하나제약(주),0.13625957071781158,0.4898321330547333,0.0,0.3725210726261139,0.0,0.0,0.0,0.0,0.0
